turn,Random,Greedy,EpsilonGreedy,UCB,ThompsonBernoulli
319,95.61539999999981,37.530599999999794,12.996,10.640399999999998,3.1697999999999995
320,95.92139999999979,37.646399999999794,13.023,10.654799999999998,3.1703999999999994
321,96.2327999999998,37.762199999999794,13.0524,10.665599999999998,3.171
322,96.5201999999998,37.877999999999794,13.0758,10.678799999999997,3.1728
323,96.82199999999979,37.993799999999794,13.109399999999999,10.687199999999997,3.1758
324,97.1309999999998,38.10959999999979,13.1418,10.697999999999999,3.177
325,97.42739999999979,38.22539999999978,13.1778,10.711199999999996,3.1794000000000002
326,97.71659999999977,38.34119999999979,13.215,10.729199999999997,3.1812
327,98.00219999999977,38.45699999999978,13.246799999999999,10.739999999999998,3.1818
328,98.30279999999976,38.57279999999979,13.276800000000001,10.751399999999999,3.183
329,98.59499999999979,38.68859999999978,13.308,10.761599999999998,3.1841999999999997
330,98.88839999999979,38.80439999999978,13.336799999999998,10.774799999999997,3.186
331,99.19499999999977,38.92019999999978,13.367400000000002,10.784999999999998,3.1872
332,99.50399999999975,39.03599999999978,13.399799999999999,10.801799999999997,3.1884000000000006
333,99.80399999999976,39.151799999999774,13.4334,10.814399999999997,3.1902
334,100.09199999999977,39.26759999999978,13.461599999999999,10.827599999999997,3.1914000000000002
335,100.39799999999977,39.383399999999774,13.4892,10.837199999999998,3.1932
336,100.70819999999975,39.49919999999978,13.523399999999999,10.8486,3.1956
337,101.01899999999975,39.614999999999775,13.558200000000001,10.859999999999996,3.198
338,101.31059999999974,39.73079999999977,13.5894,10.874399999999998,3.1998
339,101.59979999999976,39.846599999999775,13.624799999999999,10.884599999999999,3.1998
340,101.90219999999975,39.96239999999977,13.659,10.898399999999997,3.201
341,102.20939999999975,40.07819999999976,13.6908,10.910999999999996,3.201
342,102.50699999999973,40.19399999999977,13.720799999999999,10.927799999999998,3.2022
343,102.80999999999973,40.30979999999977,13.747200000000001,10.937999999999997,3.2034
344,103.10459999999975,40.42559999999976,13.7772,10.948799999999997,3.2034
345,103.40459999999975,40.54139999999976,13.808399999999999,10.961399999999996,3.2051999999999996
346,103.69799999999974,40.65719999999976,13.842,10.972799999999998,3.207
347,104.00819999999972,40.77299999999976,13.8726,10.987199999999998,3.2081999999999997
348,104.30579999999972,40.88879999999976,13.907399999999999,10.996799999999997,3.21
349,104.60399999999971,41.00459999999976,13.9398,11.010599999999998,3.21
350,104.90819999999972,41.120399999999755,13.9722,11.021399999999998,3.2118
351,105.2063999999997,41.23619999999975,14.001599999999998,11.036999999999995,3.2148000000000003
352,105.50159999999971,41.351999999999755,14.036400000000002,11.053799999999997,3.2154000000000003
353,105.81659999999971,41.467799999999755,14.055,11.066399999999998,3.2172
354,106.10339999999971,41.58359999999975,14.0838,11.083799999999995,3.219
355,106.39499999999971,41.699399999999756,14.108399999999998,11.098799999999997,3.2196
356,106.6889999999997,41.81519999999975,14.137799999999999,11.112599999999997,3.2208
